date,close
2025-01-01,2623.85
2025-01-02,2658.48
2025-01-03,2640.23
2025-01-05,2641.15
2025-01-06,2634.73
2025-01-07,2649.85
2025-01-08,2662.83
2025-01-09,2670.08
2025-01-10,2690.13
2025-01-12,2691.28
2025-01-13,2668.15
2025-01-14,2675.73
2025-01-15,2695.2
2025-01-16,2714.68
2025-01-17,2702.43
2025-01-19,2696.81
2025-01-20,2710.5
2025-01-21,2744.61
2025-01-22,2755.75
2025-01-23,2754.56
2025-01-24,2771.05
2025-01-26,2767.6
2025-01-27,2741.84
2025-01-28,2762.8
2025-01-29,2760.31
2025-01-30,2796.37
2025-01-31,2799.3
2025-02-02,2793.645
2025-02-03,2814.02
2025-02-04,2841.26
2025-02-05,2869.24
2025-02-06,2858.04
2025-02-07,2860.73
2025-02-09,2867.7
2025-02-10,2917.96
2025-02-11,2898.66
2025-02-12,2906.0
2025-02-13,2931.25
2025-02-14,2883.36
2025-02-16,2879.32
2025-02-17,2899.39
2025-02-18,2934.05
2025-02-19,2935.98
2025-02-20,2941.65
2025-02-21,2935.7
2025-02-23,2936.93
2025-02-24,2950.08
2025-02-25,2918.5
2025-02-26,2919.35
2025-02-27,2876.02
2025-02-28,2857.6
2025-03-02,2871.23
2025-03-03,2891.07
2025-03-04,2914.45
2025-03-05,2918.22
2025-03-06,2910.4
2025-03-07,2909.9
2025-03-09,2916.3
2025-03-10,2884.6
2025-03-11,2915.6
2025-03-12,2938.25
2025-03-13,2986.55
2025-03-14,2984.75
2025-03-16,2990.07
2025-03-17,2999.83
2025-03-18,3031.7
2025-03-19,3050.18
2025-03-20,3046.55
2025-03-21,3024.0
2025-03-23,3024.9
2025-03-24,3009.95
2025-03-25,3021.07
2025-03-26,3021.6
2025-03-27,3055.7
2025-03-28,3085.25
2025-03-30,3090.05
2025-03-31,3122.9
2025-04-01,3111.4
2025-04-02,3146.16
2025-04-03,3115.41
2025-04-04,3038.43
2025-04-06,3009.84
2025-04-07,2986.8
2025-04-08,2981.98
2025-04-09,3080.18
2025-04-10,3188.94
2025-04-11,3237.45
2025-04-13,3221.43
2025-04-14,3212.3
2025-04-15,3241.43
2025-04-16,3351.14
2025-04-17,3327.7
2025-04-20,3346.0
2025-04-21,3431.2
2025-04-22,3327.8
2025-04-23,3309.2
2025-04-24,3367.1
2025-04-25,3319.4
2025-04-26,3319.8
2025-04-27,3310.85
2025-04-28,3338.15
2025-04-29,3319.25
